,accession,domain,phylum,class,order,family,genus,species,OGT,selected
0,GB_GCA_000814675.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,pseudoalteromonas distincta,13.75,True
1,GB_GCA_002243605.1,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus,geobacillus lituanicus,56.66666666666666,True
2,GB_GCA_003263785.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,vibrio variabilis,31.5,False
3,GB_GCA_014652975.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,kocuria marina,23.5,False
4,RS_GCF_000009365.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,alcanivorax borkumensis,28.25,True
5,RS_GCF_000009905.1,Bacteria,Firmicutes_E,Symbiobacteriia,Symbiobacteriales,Symbiobacteriaceae,Symbiobacterium,symbiobacterium thermophilum,60.0,True
6,RS_GCF_000009945.1,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,chlamydophila felis,35.875,True
7,RS_GCF_000014445.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,leuconostoc mesenteroides,28.7202777777778,False
8,RS_GCF_000016565.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,pseudomonas_e mendocina_a,28.75,False
9,RS_GCF_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A,Rhizobiaceae_A,Ochrobactrum,ochrobactrum anthropi,27.875,True
10,RS_GCF_000019085.1,Bacteria,Firmicutes_A,Thermoanaerobacteria,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,thermoanaerobacter pseudethanolicus,64.02799999999999,True
11,RS_GCF_000019185.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,shewanella halifaxensis,11.666666666666666,True
12,RS_GCF_000019845.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,beijerinckia indica,26.0,True
13,RS_GCF_000021725.1,Bacteria,Campylobacterota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,nautilia profundicola,40.833333333333336,True
14,RS_GCF_000023065.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Tolumonas,tolumonas auensis,22.0,True
15,RS_GCF_000024325.1,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,desulfohalobium retbaense,36.1875,True
16,RS_GCF_000024545.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Stackebrandtia,stackebrandtia nassauensis,26.667,True
17,RS_GCF_000025725.1,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Denitrovibrionaceae,Denitrovibrio,denitrovibrio acetiphilus,36.0,True
18,RS_GCF_000152865.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,erythrobacter sp000152865,32.0,True
19,RS_GCF_000166195.2,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,mucilaginibacter paludis,20.5,False
20,RS_GCF_000169375.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,marinobacter sp000169375,13.5,True
21,RS_GCF_000175615.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,rothia mucilaginosa,29.5,True
22,RS_GCF_000186225.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,bacteroides helcogenes,32.5,False
23,RS_GCF_000220235.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,prevotella nigrescens,32.5,True
24,RS_GCF_000231055.2,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Saccharomonospora,saccharomonospora azurea,32.5,False
25,RS_GCF_000233775.1,Bacteria,Synergistota,Synergistia,Synergistales,Thermovirgaceae,Thermovirga,thermovirga lienii,57.0,True
26,RS_GCF_000241525.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Comamonas,comamonas testosteroni,29.8666666666667,True
27,RS_GCF_000252955.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Xenorhabdus,xenorhabdus nematophila,26.0,True
28,RS_GCF_000260835.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Imtechella,imtechella halotolerans,33.5,True
29,RS_GCF_000264295.1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,rhodanobacter spathiphylli,35.0,False
30,RS_GCF_000281175.1,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,Caldilinea,caldilinea aerophila,55.0,True
31,RS_GCF_000312105.1,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,aeromicrobium massiliense,31.0,False
32,RS_GCF_000312365.2,Bacteria,Firmicutes_A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,anaerococcus provencensis,36.0,True
33,RS_GCF_000328765.2,Bacteria,Firmicutes_A,Thermosediminibacteria,Thermosediminibacterales,Tepidanaerobacteraceae,Tepidanaerobacter,tepidanaerobacter acetatoxydans,38.75,True
34,RS_GCF_000332995.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,gordonia amicalis,27.5,False
35,RS_GCF_000344135.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,gordonia malaquae,29.5,False
36,RS_GCF_000346615.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Nafulsella,nafulsella turpanensis,33.5,True
37,RS_GCF_000350165.1,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,halanaerobium saccharolyticum,38.5,False
38,RS_GCF_000355675.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,DSM-6294,Thalassolituus,thalassolituus oleivorans,21.375,True
39,RS_GCF_000372425.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,streptococcus ferus,39.5,False
40,RS_GCF_000381045.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus,thermus scotoductus,66.18333333333334,True
41,RS_GCF_000423325.1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,lysobacter defluvii,29.5,True
42,RS_GCF_000423405.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia,mesonia mobilis,29.0,True
43,RS_GCF_000423665.1,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,solirubrobacter soli,26.5,True
44,RS_GCF_000426605.1,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,propionibacterium acidifaciens,35.0,False
45,RS_GCF_000427665.1,Bacteria,Proteobacteria,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,Geminicoccus,geminicoccus roseus,32.5,True
46,RS_GCF_000428485.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Epilithonimonas,epilithonimonas tenax,20.0,True
47,RS_GCF_000429405.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,algoriphagus marincola,35.0,True
48,RS_GCF_000429925.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatirhabdiaceae,Desulfatirhabdium,desulfatirhabdium butyrativorans,29.0,True
49,RS_GCF_000471625.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,psychrobacter aquaticus,22.0,False
