"","genus","OGT"
"1","Pseudoalteromonas","26.5065971557663"
"2","Geobacillus","58.7939797826384"
"3","Vibrio","23.6876112480757"
"4","Kocuria","29.4874539120757"
"5","Alcanivorax","29.2045946671029"
"6","Symbiobacterium","57.316474489031"
"7","Chlamydophila","36.6515417913529"
"8","Leuconostoc","24.4238730096497"
"9","Pseudomonas_E","28.405721168562"
"10","Ochrobactrum","31.3800058472939"
"11","Thermoanaerobacter","64.2663353341217"
"12","Shewanella","25.3041565437569"
"13","Tolumonas","22.4342362081745"
"14","Mucilaginibacter","23.8928233199458"
"15","Marinobacter","30.1198111007112"
"16","Rothia","30.3256601308743"
"17","Bacteroides","34.2692931663376"
"18","Prevotella","34.2177405277216"
"19","Saccharomonospora","40.602341421944"
"20","Comamonas","33.9298993115371"
"21","Rhodanobacter","31.9610264914854"
"22","Aeromicrobium","32.2600911797599"
"23","Gordonia","30.0978441753782"
"24","Halanaerobium","38.6565843727744"
"25","Streptococcus","31.2028591542629"
"26","Thermus","67.9262116805262"
"27","Lysobacter","29.0408606678912"
"28","Mesonia","25.609563996561"
"29","Propionibacterium","33.9832959385597"
"30","Algoriphagus","32.0050180432737"
"31","Psychrobacter","27.2039117807141"
"32","Clostridium","34.2272125912683"
"33","Leisingera","22.4969796792558"
"34","Patulibacter","30.875283069603"
"35","Bifidobacterium","36.4396445668458"
"36","Xanthomonas","27.0775842159442"
"37","Aeromonas","30.1218262650771"
"38","Staphylococcus","33.824163783638"
"39","Methylobacterium","28.833890260427"
"40","Luteipulveratus","25.3115107238983"
"41","Pediococcus","33.0808543916012"
"42","Herbidospora","29.5369751945788"
"43","Janibacter","29.3769688707411"
"44","Tsukamurella","29.3125680697763"
"45","Novosphingobium","29.1690061665823"
"46","Hydrogenophaga","32.8757686803375"
"47","Niabella","28.8674644906987"
"48","Croceicoccus","31.9574454506281"
"49","Planktotalea","22.1071611657335"
"50","Dehalogenimonas","32.2210582572882"
"51","Thiomonas","31.3798193369966"
"52","Mycobacterium","34.6098929936188"
"53","Pantoea","28.053326811317"
"54","Flavobacterium","25.8340335861895"
"55","Mesoplasma","34.188883182089"
"56","Corynebacterium","32.8033941630451"
"57","Streptomyces","30.0752408188948"
"58","Rhodoblastus","25.2343147750542"
"59","Clostridium_H","44.7195986787445"
"60","Sphingomonas","25.2596580061559"
"61","Gemmobacter","29.0512255073651"
