,GB_GCA_000814675.1
genome_size,4532748.0
5S_rRNA_A,0.2857142857142857
5S_rRNA_T,0.22077922077922077
5S_rRNA_G,0.2597402597402597
5S_rRNA_C,0.23376623376623376
5S_mfe_len,-0.17922077922077925
16S_rRNA_A,0.2530430310303446
16S_rRNA_T,0.20761186353505914
16S_rRNA_G,0.32178981656094635
16S_rRNA_C,0.21755528887364992
16S_mfe_len,-0.3585046549306338
23S_rRNA_A,0.27848978178039485
23S_rRNA_T,0.22099064773120886
23S_rRNA_G,0.29442327675788016
23S_rRNA_C,0.2060962937305161
23S_mfe_len,-0.3322133702805681
tRNA_A,0.20770023177955188
tRNA_T,0.22431109966520732
tRNA_G,0.29461756373937675
tRNA_C,0.273371104815864
trna_mfe_len,-0.3818882362939941
G_fraction_normalized,-0.7413598714363654
Pro_A_frac_normed,-0.6359599317949753
Pro_C_frac_normed,-1.7035013254935794
Pro_D_frac_normed,-0.6975642155461479
Pro_E_frac_normed,-0.755667239842422
Pro_F_frac_normed,0.21134077748471938
Pro_G_frac_normed,-1.8908078836347149
Pro_H_frac_normed,0.15607196155644024
Pro_I_frac_normed,0.335240921126867
Pro_K_frac_normed,1.1155407722320811
Pro_L_frac_normed,0.09122952598475377
Pro_M_frac_normed,-1.3874079734796194
Pro_N_frac_normed,0.632089560706322
Pro_P_frac_normed,-0.3017527842229007
Pro_Q_frac_normed,0.12058689000014064
Pro_R_frac_normed,-0.057170675078326315
Pro_S_frac_normed,0.46775705130513234
Pro_T_frac_normed,0.4916080666570128
Pro_V_frac_normed,-0.6229267147521648
Pro_W_frac_normed,-0.6317922948233594
Pro_Y_frac_normed,-0.24992935601855948
Pro_A,0.08483004378035068
Pro_C,0.00964294387269213
Pro_D,0.056419633633601626
Pro_E,0.05967556407834026
Pro_F,0.043873986280482
Pro_G,0.06416322130811211
Pro_H,0.021340542005461316
Pro_I,0.06710551056902275
Pro_K,0.059782141179641035
Pro_L,0.10361730294464919
Pro_M,0.023236853143605792
Pro_N,0.05086468286080346
Pro_P,0.03638161605903762
Pro_Q,0.045445998524668414
Pro_R,0.037831825901737434
Pro_S,0.06864250462278176
Pro_T,0.057185466232948616
Pro_V,0.06668376975387541
Pro_W,0.011039103899732262
Pro_Y,0.032237289348456113
Pro_mean_length,334.3202232935803
Pro_polar_charged,0.9450709608047622
Pro_polar_hydrophobic,0.5134683334037192
